Espece;Code_espece;Date_Capture;capture
acestrorhynchus falcatus;AFAL;29/10/2014;2
acestrorhynchus microlepis;AMIC;29/10/2014;7
ageneiosus inermis;AINE;29/10/2014;2
ageneiosus ucayalensis;AUCA;29/10/2014;3
auchenipterus nuchalis;ANUC;29/10/2014;20
brachyplatystoma vaillantii;BVAI;29/10/2014;1
bryconops aff. caudomaculatus;BCAU2;29/10/2014;8
bryconops melanurus;BMEL;29/10/2014;4
charax niger;CHNI;29/10/2014;3
curimata cyprinoides;CCYP;29/10/2014;4
cyphocharax spilurus;CYSP;29/10/2014;2
hemiodus aff. unimaculatus;HEUN2;29/10/2014;8
hemiodus quadrimaculatus;HQUA;29/10/2014;25
leporinus acutidens;LACU;29/10/2014;2
leporinus melanostictus;LMEL;29/10/2014;2
loricaria cataphracta;LCAT;29/10/2014;2
loricaria gr. cataphracta;LGCA;29/10/2014;2
moenkhausia aff. grandisquamis;MGRA2;29/10/2014;2
moenkhausia surinamensis;MSUR;29/10/2014;1
myloplus ternetzi;MTER;29/10/2014;1
myloplus tumukumak;MTUM;29/10/2014;8
piabucus dentatus;PDEN;29/10/2014;1
poptella brevispina;PBRE;29/10/2014;2
pterengraulis atherinoides;PATH;29/10/2014;1
serrasalmus eigenmanni;SHUM;29/10/2014;9
trachelyopterus galeatus;PGAL;29/10/2014;3
